spot,x,y,luminosity,error,T,v,v_fin,phase,detected
62.0,867.08,670.03,603.539,5.51176,20.0,58.3,7.0,annealing_T=75_h=5,True
62.0,863.34,669.19,631.243,5.95243,20.0,58.3,7.0,before_annealing,True
63.0,868.53,1010.33,485.023,4.38284,20.0,58.3,7.0,annealing_T=100_h=5,True
63.0,876.61,1005.32,535.321,5.54841,20.0,58.3,7.0,annealing_T=75_h=25,True
63.0,875.3,1008.37,3800.9,19.5098,20.0,58.3,7.0,annealing_T=75_h=5,True
63.0,870.63,1007.54,2818.88,17.2646,20.0,58.3,7.0,before_annealing,True
64.0,868.49,655.59,1694.93,7.98426,20.0,58.3,7.0,annealing_T=100_h=5,True
64.0,873.65,650.55,2132.52,8.78028,20.0,58.3,7.0,annealing_T=75_h=25,True
64.0,874.88,653.69,2529.61,8.6576,20.0,58.3,7.0,annealing_T=75_h=5,True
64.0,870.8,652.81,4072.5,10.2758,20.0,58.3,7.0,before_annealing,True
65.0,869.96,477.28,71.0222,2.58536,20.0,58.3,7.0,annealing_T=100_h=5,True
65.0,873.75,472.36,64.777,3.29008,20.0,58.3,7.0,annealing_T=75_h=25,True
65.0,875.35,475.38,59.3166,2.78359,20.0,58.3,7.0,annealing_T=75_h=5,True
65.0,872.15,475.1,123.597,3.2933,20.0,58.3,7.0,before_annealing,True
66.0,870.92,570.14,17.5525,1.46527,20.0,58.3,7.0,annealing_T=100_h=5,True
66.0,875.53,564.09,21.0971,1.80004,20.0,58.3,7.0,annealing_T=75_h=25,True
66.0,873.18,566.61,0.0,0.0,20.0,58.3,7.0,annealing_T=75_h=5,False
66.0,873.18,566.61,14.8158,1.24911,20.0,58.3,7.0,before_annealing,True
67.0,906.6,734.53,781.662,6.75524,20.0,58.3,7.0,annealing_T=100_h=5,True
67.0,912.57,729.25,1095.26,7.29159,20.0,58.3,7.0,annealing_T=75_h=25,True
67.0,913.09,732.5,1016.5,6.88388,20.0,58.3,7.0,annealing_T=75_h=5,True
67.0,908.95,731.94,1459.33,6.88334,20.0,58.3,7.0,before_annealing,True
68.0,908.62,409.4,3569.49,9.2084,20.0,58.3,7.0,annealing_T=100_h=5,True
68.0,912.52,404.41,3823.67,10.3123,20.0,58.3,7.0,annealing_T=75_h=25,True
68.0,914.69,407.58,3822.64,9.75386,20.0,58.3,7.0,annealing_T=75_h=5,True
68.0,911.61,407.03,4602.47,10.8792,20.0,58.3,7.0,before_annealing,True
69.0,939.28,810.68,1782.87,7.42434,20.0,58.3,7.0,annealing_T=100_h=5,True
69.0,945.77,805.05,1837.72,7.7105,20.0,58.3,7.0,annealing_T=75_h=25,True
69.0,945.79,808.63,1860.78,7.31417,20.0,58.3,7.0,annealing_T=75_h=5,True
69.0,941.51,808.14,2216.08,7.59763,20.0,58.3,7.0,before_annealing,True
70.0,951.07,761.95,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
70.0,951.07,761.95,0.0,0.0,20.0,58.3,7.0,annealing_T=75_h=25,False
70.0,951.07,761.95,0.0,0.0,20.0,58.3,7.0,annealing_T=75_h=5,False
70.0,951.07,761.95,36.0947,1.6119,20.0,58.3,7.0,before_annealing,True
71.0,969.38,831.28,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
71.0,969.38,831.28,0.0,0.0,20.0,58.3,7.0,annealing_T=75_h=25,False
71.0,969.38,831.28,0.0,0.0,20.0,58.3,7.0,annealing_T=75_h=5,False
71.0,969.38,831.28,22.9527,1.74942,20.0,58.3,7.0,before_annealing,True
72.0,987.76,806.87,621.306,5.40295,20.0,58.3,7.0,annealing_T=100_h=5,True
72.0,994.2,800.9,652.135,5.79232,20.0,58.3,7.0,annealing_T=75_h=25,True
72.0,994.29,804.84,732.428,6.0057,20.0,58.3,7.0,annealing_T=75_h=5,True
72.0,990.04,804.4,825.089,6.09418,20.0,58.3,7.0,before_annealing,True
73.0,1000.82,10.79,1284.65,6.47509,20.0,58.3,7.0,annealing_T=100_h=5,True
73.0,1000.93,5.73,1139.24,5.41889,20.0,58.3,7.0,annealing_T=75_h=25,True
73.0,1005.68,8.87,1261.26,6.49134,20.0,58.3,7.0,annealing_T=75_h=5,True
73.0,1003.28,8.46,1211.8,6.19564,20.0,58.3,7.0,before_annealing,True
74.0,1002.36,125.62,33.8874,1.96207,20.0,58.3,7.0,annealing_T=100_h=5,True
74.0,1003.39,119.46,52.4529,2.42218,20.0,58.3,7.0,annealing_T=75_h=25,True
74.0,1007.61,123.34,40.1891,2.21282,20.0,58.3,7.0,annealing_T=75_h=5,True
